-1.032,-0.052,0.092
-1.032,-0.048,0.096
-1.028,-0.048,0.096
-1.028,-0.052,0.096
-1.032,-0.052,0.084
-1.032,-0.056,0.096
-1.028,-0.056,0.096
-1.024,-0.06,0.096
-1.024,-0.052,0.096
-1.028,-0.048,0.092
-1.024,-0.052,0.088
-1.028,-0.048,0.092
-1.032,-0.052,-1.028,-0.048,0.096
-1.028,-0.052,0.108
-1.024,-0.052,0.088
-1.028,-0.056,0.096
-1.032,-0.056,0.092
-1.028,-0.056,0.096
-1.028,-0.06,0.092
-1.036,-0.044,0.104
-1.028,-0.044,0.092
-1.032,-0.056,0.096
-1.028,-0.052,0.096
-1.028,-0.04,0.092
-1.028,-0.048,0.088
-1.024,-0.056,0.096
-1.032,-0.056,0.096
-1.032,-0.052,0.096
-1.028,-0.048,0.092
-1.032,-0.056,0.1
-1.032,-0.048,0.096
-1.028,-0.052,0.092
-1.028,-0.052,0.096
-1.028,-0.052,0.1
-1.028,-0.048,0.096
-1.028,-0.056,0.096
-1.028,-0.048,0.092
-1.028,-0.064,0.096
-1.028,-0.056,0.088
-1.024,-0.052,0.096
-1.028,-0.048,0.1
-1.028,-0.056,0.096
-1.024,-0.056,0.092
-1.028,-0.06,0.092
-1.028,-0.056,0.1
-1.024,-0.048,0.092
-1.024,-0.052,0.092
-1.02,-0.044,0.092
-1.028,-0.056,0.092
-1.028,-0.052,0.092
-1.032,-0.052,0.1
-1.024,-0.048,0.092
-1.028,-0.056,0.092
-1.028,-0.056,0.092
-1.024,-0.048,0.092
-1.028,-0.056,0.092
-1.028,-0.056,0.096
-1.028,-0.052,0.1
-1.028,-0.056,0.096
-1.028,-0.056,0.096
-1.028,-0.052,0.092
-1.032,-0.06,0.096
-1.028,-0.056,0.092
-1.028,-0.048,0.092
-1.028,-0.052,0.092
-1.028,-0.052,0.092
-1.028,-0.048,0.092
-1.024,-0.052,0.092
-1.028,-0.052,0.1
-1.024,-0.052,0.088
-1.032,-0.052,0.096
-1.032,-0.056,0.092
-1.032,-0.048,0.092
-1.024,-0.06,0.096
-1.028,-0.052,0.092
-1.032,-0.048,0.096
-1.028,-0.052,0.092
-1.024,-0.052,0.092
-1.028,-0.056,0.092
-1.028,-0.052,0.092
-1.028,-0.056,0.096
-1.028,-0.048,0.096
-1.028,-0.052,0.084
-1.028,-0.052,0.096
-1.024,-0.06,0.092
-1.032,-0.052,0.1
-1.024,-0.056,0.088
-1.032,-0.048,0.096
-1.036,-0.044,0.096
-1.024,-0.056,0.088
-1.028,-0.044,0.092
-1.028,-0.056,0.088
-1.024,-0.048,0.096
-1.024,-0.056,0.092
-1.02,-0.056,0.092
-1.032,-0.052,0.096
-1.032,-0.048,0.096
-1.028,-0.052,0.092
-1.028,-0.044,0.096
-1.028,-0.052,0.096
-1.028,-0.06,0.088
-1.028,-0.052,0.096
-1.028,-0.052,0.096
-1.024,-0.056,0.092
-1.028,-0.056,0.092
-1.028,-0.044,0.092
-1.032,-0.048,0.1
-1.028,-0.048,0.092
-1.032,-0.056,0.1
-1.024,-0.056,0.104
-1.028,-0.056,0.092
-1.024,-0.06,0.092
-1.028,-0.056,0.092
