0.504,-0.32,0.728
0.508,-0.324,0.728
0.512,-0.324,0.74
0.512,-0.332,0.732
0.504,-0.324,0.732
0.508,-0.32,0.732
0.512,-0.328,0.732
0.512,-0.32,0.736
0.512,-0.328,0.732
0.508,-0.32,0.732
0.512,-0.32,0.732
0.504,-0.316,0.728
0.504,-0.32,0.728
0.508,-0.316,0.728
0.508,-0.328,0.736
0.508,-0.328,0.732
0.512,-0.324,0.736
0.508,-0.324,0.732
0.508,-0.328,0.728
0.512,-0.328,0.732
0.504,-0.32,0.724
0.52,-0.336,0.776
0.508,-0.324,0.728
0.508,-0.328,0.732
0.504,-0.32,0.732
0.512,-0.328,0.732
0.508,-0.324,0.728
0.512,-0.328,0.728
0.508,-0.316,0.732
0.508,-0.32,0.74
0.508,-0.324,0.724
0.504,-0.32,0.728
0.512,-0.328,0.732
0.508,-0.32,0.732
0.508,-0.324,0.736
0.508,-0.32,0.724
0.508,-0.328,0.736
0.504,-0.328,0.728
0.504,-0.32,0.728
0.508,-0.324,0.74
0.508,-0.32,0.736
0.508,-0.316,0.732
0.508,-0.328,0.736
0.512,-0.324,0.732
0.508,-0.324,0.732
0.504,-0.332,0.724
0.508,-0.32,0.732
0.512,-0.32,0.744
0.508,-0.324,0.732
0.5,-0.32,0.728
0.512,-0.32,0.74
0.508,-0.32,0.74
0.508,-0.324,0.724
0.512,-0.324,0.736
0.508,-0.32,0.716
0.508,-0.32,0.728
0.504,-0.324,0.732
0.512,-0.32,0.728
0.516,-0.328,0.72
0.512,-0.32,0.728
0.516,-0.32,0.732
0.512,-0.324,0.724
0.508,-0.324,0.724
0.516,-0.32,0.728
0.516,-0.324,0.724
0.516,-0.328,0.72
0.52,-0.32,0.724
0.516,-0.324,0.72
0.516,-0.316,0.72
0.52,-0.32,0.736
0.516,-0.324,0.732
0.52,-0.316,0.708
0.524,-0.324,0.724
0.0,0.0,0.0
0.128,0.74,-0.516
0.136,0.74,-0.516
0.132,0.732,-0.512
0.132,0.732,-0.512
0.132,0.736,-0.508
0.132,0.732,-0.508
0.14,0.732,-0.508
0.132,0.732,-0.508
0.128,0.74,-0.508
0.128,0.736,-0.516
0.132,0.732,-0.512
0.132,0.744,-0.512
-0.52,0.092,0.72
-0.524,0.092,0.728
-0.52,0.088,0.724
-0.52,0.092,0.724
-0.52,0.088,0.724
-0.52,0.092,0.724
-0.524,0.092,0.728
-0.524,0.092,0.724
-0.524,0.088,0.728
-0.52,0.084,0.724
-0.52,0.088,0.724
-0.528,0.092,0.72
-0.524,0.092,0.736
-0.528,0.092,0.728
-0.524,0.092,0.724
-0.52,0.088,0.724
-0.516,0.088,0.716
-0.52,0.092,0.72
-0.516,0.092,0.728
-0.524,0.092,0.724
-0.292,0.488,0.748
-0.296,-0.428,-0.424,0.356,0.748
-0.428,0.356,0.748
-0.42,0.356,0.736
-0.42,0.36,0.74
-0.424,0.36,0.744
-0.428,0.352,0.736
-0.424,0.36,0.736
-0.428,0.356,0.736
-0.42,0.352,0.74
-0.424,0.36,0.74
-0.42,0.352,0.736
-0.424,0.36,0.748
-0.424,0.356,0.744
-0.42,0.36,0.74
-0.424,0.356,0.736
-0.428,0.36,0.74
-0.42,0.352,0.74
